
/---------------------- 15-04-2016 20:07:23 ----------------------/
20:07:23.231637	MAIN	7616	W.	Empezando simulacion
20:07:23.233266	JUEGO	7618	D.	Creo la cola
20:07:23.233756	PERSONA	7619	D.	Tengo 5 pesos
20:07:23.234091	PERSONA	7620	D.	Tengo 5 pesos
20:07:23.234121	JUEGO	7618	D.	Creo la entrada
20:07:23.234386	COLA	7621	D.	Creo canal de lectura a personas
20:07:23.234608	JUEGO	7618	D.	Creo la salida
20:07:23.234630	COLA	7621	D.	Creo canal de escritura a entrada
20:07:23.235162	SALIDA	7623	D.	Creo canal de lectura a entrada
20:07:23.235194	ENTRADA	7622	D.	Creo canal de lectura a cola
20:07:23.235465	ENTRADA	7622	D.	Creo canal de escritura a salida
20:07:23.235707	ENTRADA	7622	D.	Creo canal para cobrar a personas
20:07:23.235897	PERSONA	7620	D.	Me puse en la cola del juego
20:07:23.235953	COLA	7621	D.	Entra la persona 7620 a la cola
20:07:23.236178	COLA	7621	D.	Paso la persona 7620 a la entrada
20:07:23.236414	ENTRADA	7622	D.	Cobro 5 a 7620
20:07:23.236432	PERSONA	7620	D.	Pago 5 pesos
20:07:23.236623	ENTRADA	7622	D.	Entra al juego: 7620
20:07:23.236772	ENTRADA	7622	D.	Se lleno el juego
20:07:23.236972	PERSONA	7619	D.	Me puse en la cola del juego
20:07:23.236982	COLA	7621	D.	Entra la persona 7619 a la cola
20:07:23.236949	ENTRADA	7622	D.	Arranca el juego con: 7620 
20:07:33.237327	ENTRADA	7622	D.	Salen todos del juego
20:07:33.237990	SALIDA	7623	D.	Sale la persona 7620
20:07:33.238232	PERSONA	7620	D.	Me voy del juego
20:07:33.238389	PERSONA	7620	D.	Tengo 0 pesos
20:07:33.239188	COLA	7621	D.	Paso la persona 7619 a la entrada
20:07:33.239613	PERSONA	7619	D.	Pago 5 pesos
20:07:33.239604	ENTRADA	7622	D.	Cobro 5 a 7619
20:07:33.239879	ENTRADA	7622	D.	Entra al juego: 7619
20:07:33.240045	ENTRADA	7622	D.	Se lleno el juego
20:07:33.240197	ENTRADA	7622	D.	Arranca el juego con: 7619 
20:07:43.240611	ENTRADA	7622	D.	Salen todos del juego
20:07:43.241263	SALIDA	7623	D.	Sale la persona 7619
20:07:43.241596	PERSONA	7619	D.	Me voy del juego
20:07:43.241807	PERSONA	7619	D.	Tengo 0 pesos
20:07:43.243109	JUEGO	7618	D.	Cierro el juego y todas sus estructuras
20:07:43.243612	COLA	7621	D.	Se cierra la cola
20:07:43.243755	ENTRADA	7622	D.	Se cierra la entrada
20:07:43.244843	SALIDA	7623	D.	Se cierra la salida
